publisher,series title,issue title,cover image,description,writers,artists,inkers,colorists,pages,release date
IDW,Back to the Future: Tales from the Time Train,Back to the Future: Tales from the Time Train #2,https://images-na.ssl-images-amazon.com/images/S/cmx-images-prod/Item/595701/595701._SX360_QL80_TTD_.jpg,"Doc Brown has fulfilled his promise to Clara by completing his most ambitious project: the Time Train! Now, he has taken the whole family on a vacation to 1939 to the New York Worlds Fair. Unbeknownst to them, however, there are some other visitors to the fair who have more nefarious plans—plans that will directly impact the Browns.","John Barber, Bob Gale",Megan Levens,,,33 Pages,February  7 2018
IDW,Ghostbusters: Answer the Call,Ghostbusters: Answer the Call #3,https://images-na.ssl-images-amazon.com/images/S/cmx-images-prod/Item/579137/579137._SX360_QL80_TTD_.jpg,"""What Dreams May Come"" Part 3! The big bad evil aka Schreckgespenst aka Shrecky used its power to create living nightmares to drive a wedge between our heroes. And while the team struggles to come back together, Schrecky makes a bid for world takeover… obviously.",Kelly Thompson,Corin Howell,,,30 Pages,"""What Dreams May Come"" Part 3! The big bad evil aka Schreckgespenst aka Shrecky used its power to create living nightmares to drive a wedge between our heroes. And while the team struggles to come back together, Schrecky makes a bid for world takeover… obviously."
IDW,Half Past Danger II: Dead To Reichs,This is part of a collected edition,https://images-na.ssl-images-amazon.com/images/S/cmx-images-prod/Item/595751/595751._SX360_QL80_TTD_.jpg,It all hits the fan! Irish versus Moss. John and Ishi versus the armored T-Rex. The Nazis versus the free folk of the Western World.,Stephen Mooney,Stephen Mooney,,,37 Pages,February  7 2018
IDW,Haunted Horror,Haunted Horror #32,https://images-na.ssl-images-amazon.com/images/S/cmx-images-prod/Item/607635/607635._SX360_QL80_TTD_.jpg,"Your favorite horror anthology heads for the high seas of screams, in this sinisterly saturated selection of soaking-wet weirdness straight from Davey Jones locker! Classic creeps from the deeps are surfacing on a tidal wave of terror! Hold your breath—Haunted Horror #32 is just around the bends! Get it? Get it!",Various,"Gene Colan, George Evans, Sheldon Moldoff, Pete Morisi",,,55 Pages,February  7 2018
IDW,Jem and the Holograms: Dimensions,Jem and the Holograms: Dimensions #3,https://images-na.ssl-images-amazon.com/images/S/cmx-images-prod/Item/595756/595756._SX360_QL80_TTD_.jpg,"In a story from Sam Maggs and Rachael Stott, The Misfits, no stranger to reality TV, are invited to appear on a Ghost Hunting TV show with their rivals, The Holograms! And in Nicole Gouxs tale, The Starlight Girls defy their mentors, The Holograms, and sneak out to an open mic night.","Nicole Goux, Sam Maggs","Nicole Goux, Rachael Stott",,,30 Pages,February  7 2018
IDW,Scarletts Strike Force,Scarletts Strike Force #2,https://images-na.ssl-images-amazon.com/images/S/cmx-images-prod/Item/595791/595791._SX360_QL80_TTD_.jpg,"Savage jungles, dinosaur fights, magic rituals, Kung-Fu, monster trucks, giant robots, weird science, strange villains and more—and its only the second issue! Roadblocks team continues its hunt for the brand-new Cobra Commander as trouble brews inside of G.I. Joes underwater base. By Aubrey Sitterson (G.I. Joe, Street Fighter x G.I. Joe) and Nelson Daniel (Clue, Dungeons & Dragons). No wonder people are calling it The Best Action Comic Ever!",Aubrey Sitterson,Nelson Daniel,,,32 Pages,February  7 2018
IDW,Star Trek: New Visions,Star Trek: New Visions #20: Isolation,https://images-na.ssl-images-amazon.com/images/S/cmx-images-prod/Item/607695/607695._SX360_QL80_TTD_.jpg,Captain Kirk has found himself all alone on the Enterprise before—but what happens when each individual member of the crew finds themselves in a similar state? And who is behind this... isolation?,John Byrne,John Byrne,,,60 Pages,February  7 2018
IDW,Teenage Mutant Ninja Turtles Universe,Teenage Mutant Ninja Turtles Universe #19,https://images-na.ssl-images-amazon.com/images/S/cmx-images-prod/Item/607720/607720._SX360_QL80_TTD_.jpg,"""Service Animals,"" Part 1 of 2. Raphael and Alopex go undercover at Null Industries. They find more than they bargained for, including very angry mutants!",Ian Flynn,Dave Wachter,,,34 Pages,February  7 2018
IDW,Transformers: Lost Light,Transformers: Lost Light #14,https://images-na.ssl-images-amazon.com/images/S/cmx-images-prod/Item/595876/595876._SX360_QL80_TTD_.jpg,"MACGUFFIN QUEST! The Scavengers have never had it so good. The war is a receding memory, their patchy service records have been forgotten, and the five of them can roam the galaxy as they please. Alls well that ends well? Not quite. Because unbeknownst to Krok and Co., their next adventure... will be their last",James Roberts,Brendan Cahill,,,30 Pages,February  7 2018
IDW,Clue,Clue,https://images-na.ssl-images-amazon.com/images/S/cmx-images-prod/Item/606799/606799._SX360_QL80_TTD_.jpg,"Get a CLUE! Solve the world’s favorite murder mystery in this comic book adaptation of the classic whodunit board game. 

When the mysterious Mr. Boddy turns up dead at his own dinner party, everyone’s a suspect! Miss Scarlett, Colonel Mustard, Mrs. Peacock, Professor Plum—all the familiar faces from the famous board game are back, with a couple new twists. But will Boddy’s body be the last to fall, or is it just the beginning?",Paul Allor,Nelson Daniel,,,153 Pages,February  7 2018
IDW,Popeye Classics,Popeye Classics Vol. 11: “The Giant” and More!,https://images-na.ssl-images-amazon.com/images/S/cmx-images-prod/Item/542065/542065._SX360_QL80_TTD_.jpg,"The classic, brilliant, and hilarious comics with kid and adult appeal of the beloved character and his cast of ""friens"" and ""emenies"": Olive Oyl, Sweepea, Wimpy, The Sea Hag, and Bluto. Popeyes back in a glorious, hilarious, stupendous volume of his ARF-filled adventures! This book is LOL funny from the outset and thrillingly strong to the finish! Collects issues #50–54.",Bud Sagendorf,Bud Sagendorf,,,168 Pages,February  7 2018
IDW,Teenage Mutant Ninja Turtles,Teenage Mutant Ninja Turtles Vol. 18: Trial of Krang,https://images-na.ssl-images-amazon.com/images/S/cmx-images-prod/Item/595630/595630._SX360_QL80_TTD_.jpg,"The Turtles transport to the bizarre and dangerous Dimension X to put an end to the terror of Krang once and for all! TMNT has always been science fiction, but this time theyre taking it to a whole new level! Leonardo, Michelangelo, Donatello, and Raphael face off against deadly new foes in a crazy space opera mash-up of classic martial arts and funky sci-fi action! But first, you are cordially invited to the centennial reunion of the Pantheon, the immortal family that influences the course of history. The main talking point: the fate of the Teenage Mutant Ninja Turtles! Collects issues #71–75 and the 2017 Free Comic Book Day issue.","Kevin Eastman, Tom Waltz","Cory Smith, Dave Wachter",,,158 Pages,February  7 2018
IDW,First Strike,Transformers/G.I. Joe: First Strike,https://images-na.ssl-images-amazon.com/images/S/cmx-images-prod/Item/595655/595655._SX360_QL80_TTD_.jpg,"A Hasbro Comic Book Event of epic proportions! The TRANSFORMERS are under attack from COBRA, G.I. JOEs greatest enemy! As Earth joins the intergalactic community, a massive explosion threatens the peace! A new COBRA—led by the worst villains to ever tangle with G.I. Joe, M.A.S.K.:Mobile Armored Strike Kommand, and the Transformers—is invading Cybertron, and only Scarlett, Optimus Prime, the Joes, and the Autobots can save two worlds! Its a race to the finish as good fights evil! Will our heroes win, or will Cobra DESTROY ALL TRANSFORMERS?!?","David A. Rodriguez, Mairghread Scott",Max Dunbar,,,183 Pages,February  7 2018
IDW,First Strike,Transformers/G.I. Joe: First Strike - Champions,https://images-na.ssl-images-amazon.com/images/S/cmx-images-prod/Item/595660/595660._SX360_QL80_TTD_.jpg,"Your favorite characters—Rom, the Autobots, Micronauts, G.I. Joe, and more—get to shine in standalone stories setting up the ultimate Hasbro comic book event! First, with Cybertron under siege from Baron Ironblood, its up to Optimus Prime and Arcee to defend their homeland, and the Revolutionaries team is caught in the middle! Then, back on Earth, Rom finds himself teaming up with the worlds smallest heroes, the Micronauts! Can they prevent catastrophe, or is it already too late? And, with the team divided, G.I. Joe must confront dangers both in space and Earthside. Looks like theyll need some help from M.A.S.K.:Mobile Armored Strike Kommand!","John Barber, Christos N. Gage, Aubrey Sitterson","Ilias Kyriazis, Chris Panda",,,146 Pages,February  7 2018
IDW,WEIRD Love,WEIRD Love Vol. 6: So This is Love,https://images-na.ssl-images-amazon.com/images/S/cmx-images-prod/Item/542070/542070._SX360_QL80_TTD_.jpg,"Off-beat stories abound in this celebration of the lurid and sometimes sleazy history of romance comic books. LOL romance comic book stories from the 1950s, 60s, and beyond! Punk rock star and graphic novelist Rebecca Sevrin introduces the LOL bizarro, lurid, and loony romance comic book stories!",Various,Various,,,162 Pages,February  7 2018
IDW,Wynonna Earp: Season Zero,Wynonna Earp: Season Zero,https://images-na.ssl-images-amazon.com/images/S/cmx-images-prod/Item/595670/595670._SX360_QL80_TTD_.jpg,"Finally revealed! The never-before-seen story of Wynonnas outlaw past, only hinted at on Syfys Wynonna Earp TV series. Outlaws. Mavericks. Werewolves. These are The Banditos, the gang Wynonna ran with in her wildest, pre-Black Badge days, and somebody or something is killing them off, one by one. Its up to Wynonna to return to her roots and find out why!",Beau Smith,Angel Hernandez,,,118 Pages,February  7 2018
Image,Coyotes,This is part of a collected edition,https://images-na.ssl-images-amazon.com/images/S/cmx-images-prod/Item/617830/617830._SX360_QL80_TTD_.jpg,"The first arc ends with Red deep in Adlin territory and the werewolf Seff on the loose, wanting revenge on the men who chained him. Ancient enemies become allies in this exciting issue!",Sean Lewis,Caitlin Yarsky,,,32 Pages,February  7 2018
Image,I Hate Fairyland,I Hate Fairyland #16,https://images-na.ssl-images-amazon.com/images/S/cmx-images-prod/Item/617925/617925._SX360_QL80_TTD_.jpg,"“HELL OF A TRIP” The fourth arc of I HATE FAIRYLAND challenges Gert like never before. Our disaffected heroine finds out her usual bag of tricks may not be enough to deal with what Hell has in store (i.e. eternal damnation, etc...) as her chance of ever making it home creeps closer to zero!",Skottie Young,Skottie Young,,Jean-Francois Beaulieu,32 Pages,February  7 2018
Image,Kingsman: The Red Diamond,This is part of a collected edition,https://images-na.ssl-images-amazon.com/images/S/cmx-images-prod/Item/617945/617945._SX360_QL80_TTD_.jpg,"MINISERIES FINALEIts the final face-off between super spy Eggsy and mining megalomaniac RED DIAMOND. Deep in the Mariana Trench, Eggsy and Kwaito join forces to stop Red Diamond and his henchman from tightening their stranglehold on the worlds economy. Can Eggsy save the world and get the power switched back on? Or has Red Diamond pulled the plug for good? THE BIG CLIMAX to this high-octane miniseries by ROB WILLIAMS and SIMON FRASER.",Rob Williams,Simon Fraser,,,31 Pages,February  7 2018
Image,No. 1 With A Bullet,No. 1 With A Bullet #4,https://images-na.ssl-images-amazon.com/images/S/cmx-images-prod/Item/617980/617980._SX360_QL80_TTD_.jpg,"With tensions mounting and the media drawn into a frenzy, Jad addresses allegations head on. Meanwhile, Nash inches closer to the void as stress-related hallucinations creep ever closer.",Jacob Semahn,Jorge Corona,,,32 Pages,February  7 2018
Image,Paper Girls,This is part of a collected edition,https://images-na.ssl-images-amazon.com/images/S/cmx-images-prod/Item/617990/617990._SX360_QL80_TTD_.jpg,"In another action-packed “season finale,” the Paper Girls have one shot to escape the year 2000, but if any of them survive, where and when will they end up next?",Brian K. Vaughan,"Cliff Chiang, Matt Wilson",,,36 Pages,February  7 2018
Image,Rock Candy Mountain,This is part of a collected edition,https://images-na.ssl-images-amazon.com/images/S/cmx-images-prod/Item/618030/618030._SX360_QL80_TTD_.jpg,"CHAPTER 8: “OH, I’M BOUND TO GO”Your favorite and only Kung-Fu Hobo Epic hits the last stop on its trip, Dear Reader, and we have answers to questions. Will Jackson find redemption via fist-fighting his way into the back door of Heaven and thusly be reunited with his long-lost wife and child? Or will he be stopped in his tracks by the Literal Devil—or worse, Babs Bardoux? Will Pomona ever find happiness?  Will Big Sis break something? Will all our hearts be broken? What will happen with the actual trainyard war? Will Hundred Cat do something so gosh darn Hundred Cat you will high five the air?Throw out your legs, friends, and prepare your soul to grab one last blind on the final leg to Rock Candy Mountain.",Kyle Starks,Kyle Starks,,,31 Pages,February  7 2018
Image,Rose,Rose #8,https://images-na.ssl-images-amazon.com/images/S/cmx-images-prod/Item/618035/618035._SX360_QL80_TTD_.jpg,"“ROSE,” Part TwoImprisoned in the dungeons of Drucilla’s castle, Ila’s life hangs in the balance. A chance encounter with an old friend forces Rose to make a choice that could lead to disaster or salvation for the Guardian and her Khat. Will Sir Dante’s role as knight protector end before it can even begin?",Meredith Finch,Ig Guara,,,31 Pages,February  7 2018
